"tv","Name","CAS","SMILES","MW","log10prediction","log10lower95","log10upper95","prediction","lower95","upper95","appl.domain","Source","Warnings"
"RfDBMDL","2-Amino-4,6-Dinitrotoluene","35572-78-2","Cc1c(N)cc([N+]([O-])=O)cc1[N+]([O-])=O",197.043655717,4.78094079288901,3.00017294171762,6.49820222130906,3.26303448353264,0.0625691470965666,196.965205988488,5.85888681892702,"CTV",""
"RfDBMD","2-Amino-4,6-Dinitrotoluene","35572-78-2","Cc1c(N)cc([N+]([O-])=O)cc1[N+]([O-])=O",197.043655717,4.36375813085656,2.36547689440376,6.30167061972079,8.52715830089668,0.0983766062910519,849.347791568008,5.85888681892702,"CTV",""
"OSF","2-Amino-4,6-Dinitrotoluene","35572-78-2","Cc1c(N)cc([N+]([O-])=O)cc1[N+]([O-])=O",197.043655717,4.68967463241475,2.70083458130228,6.52340060439902,0.248377456914414,0.00254842657352128,16.9370647606792,4.61880162420654,"CTV",""
"CPV","2-Amino-4,6-Dinitrotoluene","35572-78-2","Cc1c(N)cc([N+]([O-])=O)cc1[N+]([O-])=O",197.043655717,5.28552266666667,3.30771416666667,7.33628193333334,0.979400249618217,0.010307461240171,110.082802421005,3.73470545422646,"CTV",""
"RfC","2-Amino-4,6-Dinitrotoluene","35572-78-2","Cc1c(N)cc([N+]([O-])=O)cc1[N+]([O-])=O",197.043655717,8.4913208333333,6.09759314999997,10.5101756833333,0.000635684501284577,6.08676833960984e-06,0.15738716273721,6.23680437521144,"CTV",""
"IUR","2-Amino-4,6-Dinitrotoluene","35572-78-2","Cc1c(N)cc([N+]([O-])=O)cc1[N+]([O-])=O",197.043655717,4.51052950000001,2.12591534166668,6.37464520000001,0.164424694533224,0.000678192348026177,12.0249351717161,9.70920790705826,"CTV",""
"RfD","Ammonium Picrate","131-74-8","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",246.023648549,7.92899713758298,6.31860887808903,9.4338745346707,0.00289720827690423,9.05946017429372e-05,0.118132114248372,6.57283229336379,"CTV",""
"RfDNOAEL","Ammonium Picrate","131-74-8","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",246.023648549,5.1109569538584,3.5071702658654,6.55370255876264,1.9055480351863,0.0687502522661271,76.5255727919198,4.62974482097299,"CTV",""
"RfDBMDL","Ammonium Picrate","131-74-8","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",246.023648549,4.92921567810767,3.14844782693628,6.64647710652772,2.89575074482615,0.0555264295312825,174.795009009072,6.09950385467883,"CTV",""
"RfDBMD","Ammonium Picrate","131-74-8","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",246.023648549,4.59084179189933,2.59256055544653,6.52875428076356,6.31153598874803,0.0728152884169604,628.660682056464,6.09950385467883,"CTV",""
"OSF","Ammonium Picrate","131-74-8","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",246.023648549,4.67175233333334,2.68291228222087,6.50547830531761,0.190886615809094,0.00195855344643885,13.0167166298814,4.98802870001896,"CTV",""
