Original SMILES,Processed SMILES,Predicted PODrd (log10 mg/kg-d),PODrd (2.5%),PODrd (97.5%),Predicted PODnc (log10 mg/kg-d),PODnc (2.5%),PODnc (97.5%),Derived ED10rd (log10 mg/kg-d),ED10rd (2.5%),ED10rd (97.5%),Derived ED10nc (log10 mg/kg-d),ED10nc (2.5%),ED10nc (97.5%)
[Al+3].[O-]P([O-])([O-])=O,O=P([O-])([O-])[O-].[Al+3],1.9849761727050979,0.2155050919489393,2.584959054455611,2.038110161403622,-0.00993545394248058,2.8888620464607695,1.442150745745918,-0.3779975343958866,2.1782834202445107,1.4952847344444422,-0.5967006141202169,2.4469625297087276
CC1=C(C=C(N)C=C1[N+]([O-])=O)[N+]([O-])=O,Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-],1.2873476270920283,0.0619384098318516,2.262458962667738,0.34703380503057263,-0.7578850086565021,2.2033157783408432,0.7445222001328484,-0.5529906536828662,1.8088313529822662,-0.19579162192860727,-1.3801722368115314,1.7088591650944294
CC1=C(C=C(C=C1N)[N+]([O-])=O)[N+]([O-])=O,Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],1.274145441055635,0.05802220934220595,2.2523275028145235,0.2270968948225419,-0.7577851914249658,2.2014188318340864,0.7313200140964551,-0.5574264973571805,1.7984432506617878,-0.31572853213663804,-1.3889967091930733,1.704137544373341
[NH4+].[O-]C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1.[NH4+],1.462963345731091,0.13403802069259924,2.4080752512603443,0.6889042786968946,-0.7727593459834176,2.44661616149482,0.9201379187719112,-0.4755534423819301,1.9570315343583593,0.14607885173771473,-1.3765413923758294,1.9547974365374143
C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,1.6423145793851395,-0.5147658332921354,2.4784340239277296,-0.17248807042891223,-1.0579739931779395,2.3469620464763548,1.0994891524259596,-1.0993532163733057,2.038109193557093,-0.7153134973880921,-1.69816505050153,1.8399831092008112
C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,1.5223066056580852,-0.5752792585465283,2.4193712716607454,1.16983979174055,-0.9582958510883683,2.313955870643959,0.9794811786989053,-1.1610277126121815,1.9727771421766922,0.6270143647813702,-1.5434402351468697,1.8480440360326926
ClCCBr,ClCCBr,1.1617377749729014,-0.47759368376520744,2.1714207957263345,0.6407128443413115,-0.4520833730961679,1.9405184503340347,0.6189123480137215,-1.0749942278278202,1.7149833577884435,0.09788741738213154,-1.0751920466425626,1.4658810099990383
FC1=CC(Br)=CC=C1,Fc1cccc(Br)c1,1.0370400801061723,-0.5871572441986972,2.146171596292476,0.7348292716888443,-0.6192476263698623,1.9922130625771066,0.49421465314699237,-1.185049710897543,1.6825263026180097,0.19200384472966436,-1.2276567139698755,1.5197560255447962
FC1=CC=C(Br)C=C1,Fc1ccc(Br)cc1,1.049500346587132,-0.589750898793996,2.1435927726931663,0.755830172664766,-0.6146196347801851,2.000864841436162,0.5066749196279521,-1.1871540273305001,1.6809619769241606,0.21300474570558614,-1.2222807766894197,1.5290682633647836
CC(C)(C)OC=O,CC(C)(C)OC=O,1.8912590352329586,1.0702235838563106,2.637843817638719,1.5670748580037637,0.4894227360880111,2.6081597460661747,1.3484336082737787,0.4232249461396323,2.208259575194212,1.0242494310445838,-0.13473544890007078,2.1493136959746915
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,1.0290671315248168,-0.6620981764807408,2.3631140894631453,0.38094911393136105,-0.7903534992534864,1.7715009629062648,0.48624170456563687,-1.2578775445318362,1.8868105682975527,-0.1618763130278189,-1.4084161911402096,1.2926154541397799
S1C2=C(C=CC=C2)C2=C1C=CC=C2,c1ccc2c(c1)sc1ccccc12,1.4917639039968167,0.011798250171420504,3.4395046337980015,0.7436123546301209,-1.447416314054832,2.1391127461527515,0.9489384770376368,-0.5912596246926678,2.9428306021530486,0.20078692767094095,-2.0313686410720084,1.6600104193988587
Cl\C=C/Cl,ClC=CCl,1.101010948870162,-0.5405489190976738,2.1390489923915883,0.56003588262844,-0.5643828226674685,1.6793488918288597,0.5581855219109821,-1.1378777599842953,1.6804309655945782,0.017210455669260025,-1.185382277091972,1.2150307546440686
CC(C)(F)F,CC(C)(F)F,1.600856874638071,-0.29382144346888944,2.588224212372312,1.010045119953143,-1.4284629863189,2.5394422942244224,1.058031447678891,-0.8840596380262624,2.1335806635194325,0.4672196929939631,-2.008307248977234,2.0549752071521645
NC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.3597847647926482,0.06887396236400462,2.390615262395303,0.2536882380475102,-0.7911483088308022,2.1665209451426204,0.8169593378334682,-0.5425856433634637,1.932541414983571,-0.28913718891166973,-1.4176739697758987,1.670669133509913
CCCCCCC=O,CCCCCCC=O,2.156627581617153,1.3478125407183006,2.78563637391798,1.5449477908730618,0.5743116228647658,2.5339326458877753,1.613802154657973,0.6994206005707236,2.373778415380994,1.0021223639138819,-0.058088193813511164,2.079156671407972
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H]1Cl,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl,0.11269910738445989,-0.9752376674676964,2.221358308559314,-0.17473882321313453,-2.3256228346661296,0.9687113780307778,-0.43012631957472003,-1.5986802473617572,1.7212349896363053,-0.7175642501723144,-2.910328233549214,0.5028415097270498
CC(C)CC(C)O,CC(C)CC(C)O,2.0082235370423542,1.149801469551746,2.7000418617367794,1.5780677649410728,0.6601420098146629,2.495135891088113,1.4653981100831743,0.5068573952329123,2.2781246633923438,1.035242337981893,0.02306668722003494,2.0466402834344457
CNP(=O)(N(C)C)N(C)C,CNP(=O)(N(C)C)N(C)C,1.617028204331468,-0.47595761073028386,2.4099376061011712,0.5286452275741317,-1.5716460882688286,2.18016153228764,1.0742027773722882,-1.0617985049589065,1.9745455873539026,-0.014180199385048269,-2.1573403584669943,1.6915214042975428
C1=CC2=C3C(=C1)C1=CC=CC4=C1C(=CC=C4)C3=CC=C2,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1.6584521930903462,-0.512283382693485,2.4808465716615746,0.10037101896756438,-1.0541599399216128,2.3691607003117494,1.1156267661311663,-1.0966130029816576,2.0420415598258472,-0.44245440799161556,-1.673248294515417,1.8660772626260196
CC(C1=CC=CC=C1)C1=CC=C(C)C=C1C,Cc1ccc(C(C)c2ccccc2)c(C)c1,1.3802507710008898,-0.6034876468778607,2.22277721803668,1.0992987835053705,-0.2560613093288032,2.0325005684801636,0.8374253440417099,-1.191645863836143,1.781757208391078,0.5564733565461906,-0.864411169838083,1.5825227839866727
CC(C1=CC=CC=C1)C1=CC=C(C)C=C1,Cc1ccc(C(C)c2ccccc2)cc1,1.526869268320347,0.3381407730827222,2.2913977199178746,1.0105208992568304,-0.27063352899281085,2.0334646987128964,0.9840438413611672,-0.2788842213014332,1.8594955015760037,0.46769547229765046,-0.8825891366253966,1.5759941111655382
OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1.3091751103674496,0.08034915791766001,2.317811589952319,0.2035561793540955,-0.8952215879197614,2.282774361564928,0.7663496834082697,-0.5343905202776675,1.8614567119767833,-0.3392692476050844,-1.51792290238503,1.783243439119525
CNP(=O)(NC)N(C)C,CNP(=O)(NC)N(C)C,1.621836011571492,-0.2676953163267751,2.375657360644918,0.6723905457830438,-1.610130888652488,2.198995182454605,1.0790105846123121,-0.8580594954776646,1.9451274834139003,0.1295651188238639,-2.1924632950265006,1.7146309132872704
CC1=C(N)C(N)=CC=C1,Cc1cccc(N)c1N,1.3022023895819361,-0.18333417399682303,2.2958362907923004,0.7173616420077358,-0.4755068494527932,1.9425198081957329,0.7593769626227562,-0.7861749575016341,1.8406818158927898,0.17453621504855582,-1.0922893822576083,1.4718119714889268
CC1=CC=C(N)C(N)=C1,Cc1ccc(N)c(N)c1,1.301346481564825,-0.1724372587862777,2.293391690745172,0.5244428529178459,-0.4823425977329277,1.8626949963851556,0.7585210546056451,-0.7757378444704162,1.8383662069902262,-0.01838257404133409,-1.1117849701027671,1.386192328043154
NC1=C(O)C=CC=C1,Nc1ccccc1O,1.5144228774978759,0.3525901204619686,2.325284077947514,1.1287114579325146,-0.12072228802308076,2.1805661533394782,0.971597450538696,-0.2660483838551578,1.8877894295831696,0.5858860309733347,-0.7343399124179593,1.720923544150973
CC(C)(C)C1=CC=CC=C1,CC(C)(C)c1ccccc1,1.4974211352548306,0.5394318133674876,2.2248366736844636,1.3098054984655787,0.16691912595369113,2.2118857490714614,0.9545957082956507,-0.09404884393402262,1.7978306824396753,0.7669800715063988,-0.45289742912396463,1.764808029926072
CCC(C)C1=CC=CC=C1,CCC(C)c1ccccc1,1.556253549993564,0.601461732527186,2.2325913879589643,1.4738498958478483,0.4529087167482819,2.258612292823893,1.013428123034384,-0.03229615743898727,1.813018472610036,0.9310244688886684,-0.17542604841972606,1.8242007537162428
BrC#N,N#CBr,0.6493157437797249,-0.6057912627084611,2.1778866756954955,0.11163845971493501,-1.2314473702806745,1.837170677759495,0.10649031682054501,-1.2191059466799734,1.6934499728826167,-0.4311869672442449,-1.8403680779627345,1.3462756319630012
BrC1=CC(Br)=CC=C1,Brc1cccc(Br)c1,1.676452306277288,0.27076787268067315,2.502788040355447,0.6743513469475889,-0.3785144786465053,1.795650196506548,1.1336268793181081,-0.3353389415663115,2.063542252610372,0.13152591998840898,-1.004448684822251,1.3312021121723858
CCCCCCC,CCCCCCC,2.137422875143307,1.360830274562452,2.7430619363190982,1.4694012183682452,0.5363803365530149,2.347465467283141,1.5945974481841272,0.7085907194581336,2.335347425229483,0.9265757914090653,-0.09930910563059345,1.9027462075215806
CP(O)(O)=O,CP(=O)(O)O,1.8562566249274033,0.7436347333383531,2.635666947752667,1.405611867552259,-0.6201534950890267,3.0885387617889988,1.3134311979682234,0.12186108684844663,2.201908720135995,0.8627864405930792,-1.2073916098528192,2.5989185747971897
NC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.3149030458920885,0.08323271079243202,2.295455907024065,0.4763534283450397,-0.7455677820645785,2.377951123497514,0.7720776189329086,-0.5313500432084552,1.8413744764729028,-0.06647199861414023,-1.3606911842699965,1.8823701320573012
CCCC1=CC=CC=C1,CCCc1ccccc1,1.556466068374222,0.6851227731866535,2.2712937722556465,1.527788597183999,0.5919066934964843,2.2293253412185052,1.013640641415042,0.04351127161989382,1.8460410872986268,0.984963170224819,-0.043524454261040985,1.8059781879323742
[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O,O=[N+]([O-])c1ccccc1[N+](=O)[O-],1.2369113609620113,0.03090398430294451,2.2339929039996607,-0.4802150321480736,-1.1222521757476327,1.4852136711465913,0.6940859340028314,-0.5851191506598605,1.7785597509007502,-1.0230404591072535,-1.7938345625047054,0.9881337859061787
[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1.1886582917444861,0.015066455145284445,2.214782243035256,-0.2018145873067237,-1.017841555758532,1.8363367511810853,0.6458328647853062,-0.6028583120086553,1.7570674122519438,-0.7446400142659035,-1.6654070148211197,1.3376598523840584
SC#N,N#CS,0.45123403151604236,-0.8707553721308848,1.9568005027800517,0.08092323544357348,-1.5457653329719674,2.0179560822050804,-0.09159139544313753,-1.4806802476860599,1.473222413118495,-0.4619021915156064,-2.1435762249372448,1.521531221912681
COC(C)=O,COC(C)=O,2.0488044535808516,1.0453754240470086,2.854966564243118,1.8011876644391722,0.2954458033466244,2.77839697592074,1.5059790266216717,0.4156663772490108,2.4180147741328324,1.2583622374799923,-0.30662032099062864,2.3245938701551254
ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0.2724179845434368,-0.8264633964901296,2.1005087453638525,-0.3803077383991629,-1.5691596394401075,1.3068342145160208,-0.27040744241574305,-1.4491576897764973,1.6067786660635859,-0.9231331653583428,-2.1861773841723435,0.8170851615642478
NC(N)=N,N=C(N)N,1.4508834479617947,-0.22031062276352376,2.3966946895976005,1.3009453352404925,-0.7581947222089533,2.597363815851427,0.9080580210026148,-0.8167032604790461,1.9455891101153535,0.7581199082813126,-1.3447280729726128,2.122895616205646
