"Chemical","CASRN","DTXSID","INCHIKEY","pod.med_PPRTV","pod.med_CTV","pod.med_Aurisano","pod.med_Kvasnicka","pod.med_von Borries","pod.med_ToxCast","pod.med.lb_PPRTV","pod.med.lb_CTV","pod.med.lb_Aurisano","pod.med.lb_Kvasnicka","pod.med.lb_von Borries","pod.med.lb_ToxCast"
"Perylene","198-55-0","DTXSID4047753","CSHWQDPOILHKBI-UHFFFAOYSA-N",0.0224904590320054,NA,NA,0.739092106,1.26000137476149,NA,0.00224904590320054,NA,NA,0.081847285,0.0882754743798857,NA
"1-Phenyl-1-(2,4-dimethylphenyl)-ethane (PXE)","6165-52-2","DTXSID50884231","JOUBGGHXBLOLFY-UHFFFAOYNA-N",NA,NA,NA,NA,12.568943775259,NA,NA,NA,NA,NA,0.249179524715618,NA
"1-Phenyl-1-(4-methylphenyl)-ethane (PTE)","3717-68-8","DTXSID101027177","BOKDBSJFKVOFBS-UHFFFAOYNA-N",NA,NA,NA,NA,10.2452108145262,NA,NA,NA,NA,NA,0.53624896998094,NA
"Picric Acid (2,4,6-Trinitrophenol)","88-89-1","DTXSID4025909","OXNIZHLAWKMVMX-UHFFFAOYSA-N",0.643,NA,NA,1.540396438,1.59792421956081,NA,0.0643,NA,NA,0.112383037,0.127285347359223,NA
"N,N,N',N'' Tetramethylphosphoramide (TMPA)","16853-36-4","DTXSID80168576","IQICYUQNNRAIMZ-UHFFFAOYSA-N",0.29,3.43480733635002,NA,3.062224596,4.70316857936268,NA,0.0029,0.0658629158107395,NA,0.223411383,0.0245396922143519,NA
"2,3-Toluenediamine","2687-25-4","DTXSID4027494","AXNUJYHFQHQZBE-UHFFFAOYSA-N",0.32,NA,33.4,6.801232179,5.21628896683251,18.5311724001951,0.0032,NA,4.36873684105263,0.496198969,0.334574741083593,1.64594000394117
"3,4-Toluenediamine","496-72-0","DTXSID9024930","DGRGLKZMKWPMOH-UHFFFAOYSA-N",0.32,NA,NA,3.27656462,3.34535994697035,4.54944019980397,0.0032,NA,NA,0.239049035,0.329349798648505,0.295465848190248
"o-Aminophenol","95-55-6","DTXSID8024498","CDAWCLOXVUBKRW-UHFFFAOYSA-N",12,NA,2.98,15.32569186,13.4496647128835,21.6756273508874,0.12,NA,0.537666711551404,1.697171786,0.757317010715356,1.40231871672574
"tert-Butylbenzene","98-06-6","DTXSID3047138","YTZKOQUCBOVLHL-UHFFFAOYSA-N",26.8907662339196,6.271794341036,29.7,17.06475528,20.4082374412974,NA,2.98786291487995,0.226280017688107,5.358624608415,1.244997047,1.46865276058069,NA
"sec-Butylbenzene","135-98-8","DTXSID2022333","ZJMWRROPUADPEA-UHFFFAOYNA-N",26.8907662339196,9.5781671635933,29.7,17.03126908,29.7748714987829,NA,2.98786291487995,0.34557061621372,5.358624608415,1.242553987,2.83732259614797,NA
"Cyanogen Bromide","506-68-3","DTXSID9021550","ATDGTVJJHBUTRL-UHFFFAOYSA-N",NA,0.936210447714993,13.7,2.337613425,1.29311890115423,NA,NA,0.0179519675663997,1.3091614871945,0.170545769,0.0586884486558133,NA
"1,3-Dibromobenzene","108-36-1","DTXSID7051555","JSRLURSZEMLAFO-UHFFFAOYSA-N",1.2,NA,0.265,4.670435746,4.72445097733726,NA,0.012,NA,0.0478126438124571,0.340741992,0.418297743076858,NA
