"Chemical","CASRN","DTXSID","INCHIKEY","name","pod.med","pod.med.lb"
"Pentamethylphosphoramide (PMPA)","10159-46-3","DTXSID60144035","JSJBYUNWLNWERF-UHFFFAOYSA-N","von Borries",3.37788785938574,0.0268135250074046
"Perylene","198-55-0","DTXSID4047753","CSHWQDPOILHKBI-UHFFFAOYSA-N","von Borries",1.26000137476149,0.0882754743798857
"1-Phenyl-1-(2,4-dimethylphenyl)-ethane (PXE)","6165-52-2","DTXSID50884231","JOUBGGHXBLOLFY-UHFFFAOYNA-N","von Borries",12.568943775259,0.249179524715618
"1-Phenyl-1-(4-methylphenyl)-ethane (PTE)","3717-68-8","DTXSID101027177","BOKDBSJFKVOFBS-UHFFFAOYNA-N","von Borries",10.2452108145262,0.53624896998094
"Picric Acid (2,4,6-Trinitrophenol)","88-89-1","DTXSID4025909","OXNIZHLAWKMVMX-UHFFFAOYSA-N","von Borries",1.59792421956081,0.127285347359223
"N,N,N',N'' Tetramethylphosphoramide (TMPA)","16853-36-4","DTXSID80168576","IQICYUQNNRAIMZ-UHFFFAOYSA-N","von Borries",4.70316857936268,0.0245396922143519
"2,3-Toluenediamine","2687-25-4","DTXSID4027494","AXNUJYHFQHQZBE-UHFFFAOYSA-N","von Borries",5.21628896683251,0.334574741083593
"3,4-Toluenediamine","496-72-0","DTXSID9024930","DGRGLKZMKWPMOH-UHFFFAOYSA-N","von Borries",3.34535994697035,0.329349798648505
"o-Aminophenol","95-55-6","DTXSID8024498","CDAWCLOXVUBKRW-UHFFFAOYSA-N","von Borries",13.4496647128835,0.757317010715356
"tert-Butylbenzene","98-06-6","DTXSID3047138","YTZKOQUCBOVLHL-UHFFFAOYSA-N","von Borries",20.4082374412974,1.46865276058069
"sec-Butylbenzene","135-98-8","DTXSID2022333","ZJMWRROPUADPEA-UHFFFAOYNA-N","von Borries",29.7748714987829,2.83732259614797
"Cyanogen Bromide","506-68-3","DTXSID9021550","ATDGTVJJHBUTRL-UHFFFAOYSA-N","von Borries",1.29311890115423,0.0586884486558133
"1,3-Dibromobenzene","108-36-1","DTXSID7051555","JSRLURSZEMLAFO-UHFFFAOYSA-N","von Borries",4.72445097733726,0.418297743076858
"n-Heptane","142-82-5","DTXSID6024127","IMNFDUFMRHMDMM-UHFFFAOYSA-N","von Borries",29.4714306350215,3.4385895305741
"Methyl Phosphonic Acid","993-13-5","DTXSID5047748","YACKEPLHDIMKIO-UHFFFAOYSA-N","von Borries",25.4455514683505,0.239798523610757
"Picramic Acid (2-Amino-4,6-dinitrophenol)","96-91-3","DTXSID5024479","QXYMVUZOGFVPGH-UHFFFAOYSA-N","von Borries",2.99470072920485,0.179652066817604
"n-Propylbenzene","103-65-1","DTXSID3042219","ODLMAHJVESYWTB-UHFFFAOYSA-N","von Borries",33.7123166266247,3.90756934144919
"1,2-Dinitrobenzene","528-29-0","DTXSID4024066","IZUKQUVSCNEFMJ-UHFFFAOYSA-N","von Borries",0.330967209172741,0.0754653906013694
"1,4-Dinitrobenzene","100-25-4","DTXSID0021836","FYFDQJRXFWGIBS-UHFFFAOYSA-N","von Borries",0.628326552074213,0.0959750714798852
"Thiocyanic Acid","463-56-9","DTXSID7047221","ZMZDMBWJUHKJPS-UHFFFAOYSA-N","von Borries",1.20482296074988,0.0284599850116076
"Methyl Acetate","79-20-9","DTXSID4021767","KXKVLQRXCPHEJC-UHFFFAOYSA-N","von Borries",63.268518402474,1.97444846785938
"Endosulfan Sulfate","1031-07-8","DTXSID3037541","AAPVQEMYVNZIOO-UHFFFAOYNA-N","von Borries",0.416574097020202,0.0269674797045904
"Guanidine","113-00-8","DTXSID0023117","ZRALSGWEFCBTJO-UHFFFAOYSA-N","von Borries",19.996101623401,0.1745039563777
"Aluminum Phosphate Salts","7784-30-7","DTXSID5064839","ILRRQNADMUWWFW-UHFFFAOYSA-K","ToxCast",NA,NA
"4-Amino-2,6-Dinitrotoluene","19406-51-0","DTXSID8074312","KQRJATLINVYHEZ-UHFFFAOYSA-N","ToxCast",NA,NA
"2-Amino-4,6-Dinitrotoluene","35572-78-2","DTXSID6044068","IEEJAAUSLQCGJH-UHFFFAOYSA-N","ToxCast",NA,NA
"Ammonium Picrate","131-74-8","DTXSID50872815","PADMMUFPGNGRGI-UHFFFAOYSA-N","ToxCast",NA,NA
"Benzo[e]pyrene (BeP)","192-97-2","DTXSID3023764","TXVHTIQJNYSSKO-UHFFFAOYSA-N","ToxCast",0.578799618364291,0.000739818561451483
"2,3-Benzofluorene","243-17-4","DTXSID1022477","HAPOJKSPCGLOOD-UHFFFAOYSA-N","ToxCast",NA,NA
"1-Bromo-2-chloroethane","107-04-0","DTXSID4024775","IBYHHJPAARCAIE-UHFFFAOYSA-N","ToxCast",NA,NA
"1-Bromo-3-fluorobenzene","1073-06-9","DTXSID9061461","QDFKKJYEIFBEFC-UHFFFAOYSA-N","ToxCast",NA,NA
"p-Bromofluorobenzene","460-00-4","DTXSID4027153","AITNMTXHTIIIBB-UHFFFAOYSA-N","ToxCast",NA,NA
"tert-Butyl Formate","762-75-4","DTXSID4024690","RUPAXCPQAAOIPB-UHFFFAOYSA-N","ToxCast",NA,NA
"p,p'-DDD","72-54-8","DTXSID4020373","AHJKRLASYNVKDZ-UHFFFAOYSA-N","ToxCast",0.000584015419364721,7.55740116682209e-05
"Dibenzothiophene","132-65-0","DTXSID0047741","IYYZUPMFVPLQIF-UHFFFAOYSA-N","ToxCast",NA,NA
"cis-1,2-Dichloroethylene","156-59-2","DTXSID2024030","KFUSEUYYWQURPO-UPHRSURJSA-N","ToxCast",NA,NA
"2,2-Difluoropropane","420-45-1","DTXSID60870529","YZXSQDNPKVBDOG-UHFFFAOYSA-N","ToxCast",NA,NA
"3,5-Dinitroaniline","618-87-1","DTXSID0044151","MPBZUKLDHPOCLS-UHFFFAOYSA-N","ToxCast",NA,NA
"n-Heptanal","111-71-7","DTXSID0021597","FXHGMKSSBGDXIY-UHFFFAOYSA-N","ToxCast",NA,NA
"delta-Hexachlorocyclohexane","319-86-8","DTXSID5024134","JLYXXMFPNIAWKQ-GPIVLXJGNA-N","ToxCast",0.0728381276828585,0.00153386427092119
"4-Methyl-2-Pentanol","108-11-2","DTXSID2026781","WVYWICLMDOOCFB-UHFFFAOYNA-N","ToxCast",NA,NA
"Pentamethylphosphoramide (PMPA)","10159-46-3","DTXSID60144035","JSJBYUNWLNWERF-UHFFFAOYSA-N","ToxCast",NA,NA
"Perylene","198-55-0","DTXSID4047753","CSHWQDPOILHKBI-UHFFFAOYSA-N","ToxCast",NA,NA
"1-Phenyl-1-(2,4-dimethylphenyl)-ethane (PXE)","6165-52-2","DTXSID50884231","JOUBGGHXBLOLFY-UHFFFAOYNA-N","ToxCast",NA,NA
"1-Phenyl-1-(4-methylphenyl)-ethane (PTE)","3717-68-8","DTXSID101027177","BOKDBSJFKVOFBS-UHFFFAOYNA-N","ToxCast",NA,NA
"Picric Acid (2,4,6-Trinitrophenol)","88-89-1","DTXSID4025909","OXNIZHLAWKMVMX-UHFFFAOYSA-N","ToxCast",NA,NA
"N,N,N',N'' Tetramethylphosphoramide (TMPA)","16853-36-4","DTXSID80168576","IQICYUQNNRAIMZ-UHFFFAOYSA-N","ToxCast",NA,NA
"2,3-Toluenediamine","2687-25-4","DTXSID4027494","AXNUJYHFQHQZBE-UHFFFAOYSA-N","ToxCast",18.5311724001951,1.64594000394117
"3,4-Toluenediamine","496-72-0","DTXSID9024930","DGRGLKZMKWPMOH-UHFFFAOYSA-N","ToxCast",4.54944019980397,0.295465848190248
"o-Aminophenol","95-55-6","DTXSID8024498","CDAWCLOXVUBKRW-UHFFFAOYSA-N","ToxCast",21.6756273508874,1.40231871672574
"tert-Butylbenzene","98-06-6","DTXSID3047138","YTZKOQUCBOVLHL-UHFFFAOYSA-N","ToxCast",NA,NA
"sec-Butylbenzene","135-98-8","DTXSID2022333","ZJMWRROPUADPEA-UHFFFAOYNA-N","ToxCast",NA,NA
"Cyanogen Bromide","506-68-3","DTXSID9021550","ATDGTVJJHBUTRL-UHFFFAOYSA-N","ToxCast",NA,NA
"1,3-Dibromobenzene","108-36-1","DTXSID7051555","JSRLURSZEMLAFO-UHFFFAOYSA-N","ToxCast",NA,NA
"n-Heptane","142-82-5","DTXSID6024127","IMNFDUFMRHMDMM-UHFFFAOYSA-N","ToxCast",NA,NA
"Methyl Phosphonic Acid","993-13-5","DTXSID5047748","YACKEPLHDIMKIO-UHFFFAOYSA-N","ToxCast",NA,NA
"Picramic Acid (2-Amino-4,6-dinitrophenol)","96-91-3","DTXSID5024479","QXYMVUZOGFVPGH-UHFFFAOYSA-N","ToxCast",0.285614740926277,0.0478365983470099
"n-Propylbenzene","103-65-1","DTXSID3042219","ODLMAHJVESYWTB-UHFFFAOYSA-N","ToxCast",NA,NA
"1,2-Dinitrobenzene","528-29-0","DTXSID4024066","IZUKQUVSCNEFMJ-UHFFFAOYSA-N","ToxCast",3.34434884805266,0.324935189305837
"1,4-Dinitrobenzene","100-25-4","DTXSID0021836","FYFDQJRXFWGIBS-UHFFFAOYSA-N","ToxCast",NA,NA
"Thiocyanic Acid","463-56-9","DTXSID7047221","ZMZDMBWJUHKJPS-UHFFFAOYSA-N","ToxCast",NA,NA
"Methyl Acetate","79-20-9","DTXSID4021767","KXKVLQRXCPHEJC-UHFFFAOYSA-N","ToxCast",NA,NA
"Endosulfan Sulfate","1031-07-8","DTXSID3037541","AAPVQEMYVNZIOO-UHFFFAOYNA-N","ToxCast",0.0583101320617236,0.00382326819733879
"Guanidine","113-00-8","DTXSID0023117","ZRALSGWEFCBTJO-UHFFFAOYSA-N","ToxCast",NA,NA
